date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:34	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
15:54:34	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
15:54:34	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
15:54:35	6816/6816	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
15:54:35	9696/9696	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
15:54:35	7244/7244	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
15:54:35	8248/8248	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
15:54:35	5784/5784	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
15:54:36	15016/15016	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
15:54:36	15948/15948	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
15:54:36	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
15:54:36	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
15:54:37	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
15:54:37	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
15:54:37	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
15:54:37	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
15:54:37	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/Users/Jack/Documents/newproject/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
15:54:38	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Users/Jack/Documents/newproject/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
